C,PCA,FS,SMOTE,OVERS,accuracy
1,False,False,False,False,0.450871327254306
2,False,False,False,False,0.4629787234042554
5,False,False,False,False,0.495
10,False,False,False,False,0.4949949341438703
20,False,False,False,False,0.5035562310030395
30,False,False,False,False,0.5092553191489362
40,False,False,False,False,0.5092603850050659
50,False,False,False,False,0.5185157041540019
2,False,False,False,False,0.4629787234042554
4,False,False,False,False,0.49143870314083077
6,False,False,False,False,0.49642857142857144
8,False,False,False,False,0.5006940222897669
10,False,False,False,False,0.4949949341438703
12,False,False,False,False,0.49713779128672747
14,False,False,False,False,0.49643363728470113
16,False,False,False,False,0.5000050658561297
18,False,False,False,False,0.5049898682877406
20,False,False,False,False,0.5035562310030395
